model,pp_median,pp_lower,pp_upper
0 lag,0.8931289635032571,0.8757472959515514,0.9079913537983558
24 lag,0.8871957098897303,0.8691325592532013,0.9028029217249841
72 lag,0.8747718944863513,0.855141526981786,0.8919921924629692
168 lag,0.8705721257896016,0.8501791926582486,0.8887080341341962
336 lag,0.8523344260472738,0.829875404332661,0.8721791375982085
