model,bal_acc,se,lower,upper
Week,0.8093553185417534,0.010217393470820318,0.7884607488939258,0.8302498881895809
Day,0.812043386169299,0.009739838214359333,0.7921254170209342,0.8319613553176639
Hour,0.8439782548445118,0.007744298985758912,0.8281411634186349,0.8598153462703888
