model,median,lower,upper
Female,0.8526269171460132,0.824472723022292,0.8818326155496067
Male,0.8962665183573102,0.8669909728918984,0.9261653882795122
non_white,0.7041508924654671,0.6375656124373218,0.7721484407783974
white,0.8976808279585632,0.839950201013099,0.9555531013858983
above_poverty,0.8930026059710453,0.8358912680320553,0.9500938964271413
below_poverty,0.7615617061561457,0.7032597941581845,0.8199125906860392
older,0.803657420337553,0.7600401520126846,0.8499652653707805
younger,0.9015321957903706,0.8608622626378037,0.9442025206444193
